"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","seed"
126,-0.81805783014056,0.108938528874964,0.441287878787879,0.356445679194264,0.546324456521114,0.558712121212121,0.453675543478886,0.643554320805735,365,5.94204601075496e-14,410923310
151,-0.921586419448865,0.107084229865533,0.397887323943662,0.322559503335936,0.490806567215505,0.602112676056338,0.509193432784495,0.677440496664064,368,7.55340084886931e-18,762541536
426,-0.899196298514855,0.105517012198936,0.406896551724138,0.330877903855728,0.500380357454105,0.593103448275862,0.499619642545895,0.669122096144272,381,1.5707418581014e-17,36537470
26,-0.827769680766802,0.109546337307443,0.437022900763359,0.352580414492189,0.541689237238819,0.562977099236641,0.458310762761181,0.647419585507811,360,4.14560283611496e-14,37723415
176,-0.965693828946626,0.104056682675151,0.380718954248366,0.310478327318608,0.466850370445428,0.619281045751634,0.533149629554572,0.689521672681392,386,1.68749235136507e-20,499056446
1,-0.873999229374541,0.10843536104066,0.417279411764706,0.337385653114152,0.516092210428953,0.582720588235294,0.483907789571047,0.662614346885848,363,7.62356508761582e-16,492013260
101,-0.931157643214489,0.106535115298652,0.394097222222222,0.319830972944481,0.485608442276265,0.605902777777778,0.514391557723735,0.680169027055519,371,2.32322768442918e-18,684710262
51,-0.910870664404815,0.108401482092853,0.402173913043478,0.32519389804702,0.497376664519445,0.597826086956522,0.502623335480555,0.67480610195298,360,4.36138749831267e-17,582694404
76,-0.903772513516753,0.111967079911096,0.405038759689922,0.325229576239964,0.504432588043914,0.594961240310078,0.495567411956086,0.674770423760036,338,6.92863186020578e-16,555294246
351,-0.688808778961347,0.114125617148919,0.502173913043479,0.401522832873654,0.628055538302978,0.497826086956521,0.371944461697022,0.598477167126346,346,1.58440130699685e-09,854466462
726,-0.9348921578247,0.102429922711446,0.392628205128205,0.32121290595681,0.479921275276916,0.607371794871795,0.520078724723084,0.67878709404319,401,7.03332877294508e-20,290307872
326,-0.545337676071134,0.112544886145061,0.579646017699115,0.464905276982458,0.722705296044899,0.420353982300885,0.277294703955101,0.535094723017542,375,1.26285127547578e-06,98439393
226,-0.847880780835071,0.105236113810048,0.428321678321678,0.34849208042952,0.526437960639402,0.571678321678322,0.473562039360598,0.65150791957048,388,7.82296889241579e-16,859158915
251,-0.957944959178138,0.107094964054676,0.383680555555556,0.311035809093672,0.4732920275012,0.616319444444444,0.5267079724988,0.688964190906328,365,3.72563267333983e-19,938091231
376,-0.902986766247792,0.10746228868889,0.405357142857143,0.32837173242302,0.500391468086632,0.594642857142857,0.499608531913368,0.67162826757698,367,4.35865355807752e-17,691875948
276,-0.730112374793417,0.110673468148027,0.481854838709677,0.387891977585014,0.598579241142056,0.518145161290323,0.401420758857944,0.612108022414986,363,4.19573405903519e-11,846004125
201,-1.01810064780896,0.101572487718781,0.361280487804878,0.29606416764786,0.44086250594086,0.638719512195122,0.55913749405914,0.70393583235214,401,1.20304372771683e-23,744192707
601,-0.842678914530909,0.104769759533527,0.430555555555556,0.3506299553549,0.528700082775636,0.569444444444444,0.471299917224364,0.6493700446451,392,8.75578830486888e-16,86490185
301,-0.952161358142155,0.105162899762309,0.385906040268456,0.314026828956873,0.474238052877105,0.614093959731544,0.525761947122895,0.685973171043127,379,1.37627278625401e-19,662127445
501,-1.00242836481519,0.103812661273014,0.366987179487179,0.299423163961177,0.449796829765041,0.633012820512821,0.550203170234959,0.700576836038823,385,4.63034153831801e-22,603893452
451,-0.8754687373539,0.1043281062089,0.416666666666667,0.339613161944227,0.511202540317393,0.583333333333333,0.488797459682607,0.660386838055773,392,4.80000488089006e-17,854616383
676,-0.865859878247263,0.104856627752262,0.420689655172414,0.342537173233162,0.516673224977588,0.579310344827586,0.483326775022412,0.657462826766838,389,1.4868066973617e-16,416636964
751,-0.818057830140561,0.108938528874964,0.441287878787879,0.356445679194264,0.546324456521114,0.558712121212121,0.453675543478886,0.643554320805736,365,5.94204601075464e-14,158167885
576,-0.791339206739159,0.105652726308933,0.453237410071942,0.368463086322183,0.557516227579714,0.546762589928058,0.442483772420286,0.631536913677817,391,6.88721900535878e-14,634970441
476,-0.927140747898221,0.108349892263668,0.39568345323741,0.319978128339346,0.489300303050212,0.60431654676259,0.510699696949788,0.680021871660654,359,1.15928597788977e-17,244917015
401,-0.980829253011726,0.106119090010836,0.375,0.304580808068096,0.461700134332036,0.625,0.538299865667964,0.695419191931904,370,2.40304609870732e-20,473905357
526,-0.680620920740765,0.112039006264901,0.506302521008403,0.406482932281298,0.630634701783907,0.493697478991597,0.369365298216093,0.593517067718702,360,1.24098401996997e-09,508346217
851,-0.965080896043586,0.10614615775541,0.380952380952381,0.309399009458004,0.469053591372234,0.619047619047619,0.530946408627766,0.690600990541997,371,9.72334453419177e-20,49079703
776,-0.7170527014135,0.109115873349946,0.488188976377953,0.394192510642675,0.604599200193815,0.511811023622047,0.395400799806185,0.605807489357325,375,4.98178180069818e-11,998197981
626,-0.876839539487678,0.104711706172729,0.416095890410959,0.338893048562344,0.510886224286297,0.583904109589041,0.489113775713703,0.661106951437656,389,5.57683607336812e-17,489306709
701,-0.906005461213982,0.110317540704815,0.404135338345865,0.325554997699919,0.501682888770985,0.595864661654135,0.498317111229015,0.674445002300081,348,2.16259698713771e-16,690859374
876,-0.935460647981875,0.101790824693972,0.392405063291139,0.321432728973411,0.479048086323719,0.60759493670886,0.520951913676281,0.678567271026589,406,3.92734854246239e-20,537785941
651,-0.674662365885841,0.105478387446973,0.509328358208956,0.414204193212776,0.626298286513408,0.490671641791044,0.373701713486592,0.585795806787224,407,1.59276467259021e-10,781149163
826,-0.838215145812884,0.107325110573633,0.432481751824818,0.350439044705363,0.533731810103296,0.567518248175182,0.466268189896704,0.649560955294637,374,5.71624889617381e-15,166816040
801,-0.774745824442825,0.107290584709086,0.460820895522388,0.373427461413944,0.568667063064917,0.539179104477612,0.431332936935083,0.626572538586056,381,5.16048411597651e-13,600329708
951,-0.777943717220022,0.112048471950047,0.459349593495935,0.368780122412949,0.572162207833445,0.540650406504065,0.427837792166555,0.631219877587051,349,3.8407354200172e-12,510061702
926,-1.02367684439436,0.105975523072516,0.359271523178808,0.291888017243866,0.442210778592464,0.640728476821192,0.557789221407536,0.708111982756134,368,4.47786302722354e-22,606569779
976,-0.894967962405334,0.105432257921867,0.408620689655172,0.33233513024707,0.502417147083237,0.591379310344828,0.497582852916763,0.66766486975293,382,2.09214662787347e-17,175078623
551,-0.80838244413753,0.103051030976285,0.445578231292517,0.364088338202113,0.545307111955764,0.554421768707483,0.454692888044236,0.635911661797887,409,4.34727893033366e-15,892920274
901,-0.933097850190536,0.104422003455938,0.393333333333334,0.320535829564215,0.482664017066201,0.606666666666666,0.517335982933799,0.679464170435785,386,4.04112663554276e-19,874347548
152,-1.06330547483597,0.103802152583167,0.3453125,0.281744694879329,0.423222601253665,0.6546875,0.576777398746335,0.718255305120671,381,1.2647050555298e-24,967916468
27,-0.887303195000903,0.108707069202853,0.411764705882353,0.332749562834507,0.509542887347702,0.588235294117647,0.490457112652298,0.667250437165493,360,3.28617329324785e-16,434978723
102,-0.819073973799249,0.109373635394531,0.440839694656488,0.355780126890478,0.546235221408673,0.559160305343511,0.453764778591327,0.644219873109522,362,6.95221716665899e-14,457189721
127,-1.11730442168026,0.104354303414763,0.32716049382716,0.266645532031517,0.401409271348976,0.67283950617284,0.598590728651024,0.733354467968483,374,9.45376919750945e-27,393470691
602,-0.904042109797956,0.106724315935092,0.404929577464789,0.328500169424596,0.499141181549526,0.595070422535211,0.500858818450474,0.671499830575404,372,2.43678591524576e-17,894307464
427,-0.724399724064051,0.107984080608345,0.484615384615384,0.392175971528392,0.598843600974962,0.515384615384616,0.401156399025038,0.607824028471608,382,1.96778460348179e-11,114291508
727,-1.0081132119602,0.102305910270642,0.364906832298136,0.298606354986533,0.445928206262942,0.635093167701864,0.554071793737058,0.701393645013467,396,6.59282655730178e-23,511425630
2,-0.883836987024417,0.10557521072874,0.413194444444444,0.335960865438018,0.50818314418008,0.586805555555556,0.49181685581992,0.664039134561982,382,5.68248721069187e-17,630495227
577,-0.95651866351111,0.10525313119584,0.384228187919463,0.312606205509118,0.472259660205524,0.615771812080537,0.527740339794476,0.687393794490882,378,1.01069785650735e-19,86201987
77,-0.769246524098593,0.115203526207377,0.463362068965517,0.369708180325015,0.580740211826677,0.536637931034483,0.419259788173323,0.630291819674985,331,2.43412968947379e-11,908788352
327,-0.68530400309892,0.108536932589338,0.503937007874015,0.407370380335821,0.623394630939212,0.496062992125985,0.376605369060788,0.592629619664179,383,2.71884609728555e-10,462487922
252,-0.916290731874155,0.104083299990192,0.4,0.326185105248295,0.490519025625669,0.6,0.509480974374331,0.673814894751705,390,1.32689152680705e-18,674093002
352,-0.769031878084818,0.108819507855448,0.463461538461538,0.37444356026049,0.573642119746185,0.536538461538462,0.426357880253815,0.625556439739509,371,1.58272678571623e-12,748223693
377,-1.07377536552117,0.101223337700391,0.341715976331361,0.280223028698628,0.416703113310783,0.658284023668639,0.583296886689217,0.719776971301372,400,2.73593635044174e-26,41311262
277,-0.802041268799082,0.111181323530102,0.448412698412699,0.360612011620658,0.557590822319239,0.551587301587301,0.442409177680761,0.639387988379342,352,5.44064890198749e-13,387327098
227,-0.833293812303187,0.110077638317405,0.434615384615385,0.350273143483079,0.539266386986085,0.565384615384615,0.460733613013915,0.649726856516921,356,3.73065307261441e-14,281195712
502,-0.943004944344387,0.105686012882777,0.389455782312925,0.316590631397203,0.479091265927817,0.610544217687075,0.520908734072183,0.683409368602797,376,4.55042250006e-19,430160700
302,-0.926377933407556,0.10912178979334,0.395985401459854,0.319738210137048,0.490415074576514,0.604014598540146,0.509584925423486,0.680261789862952,354,2.07716298876798e-17,418668058
