"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","seed"
1,-1.13943428318837,0.188745860906557,0.32,0.221049333737219,0.463245006301317,0.68,0.536754993698683,0.778950666262781,114,1.5713191085458e-09,473632291
51,-0.956731701432666,0.200657070117415,0.384146341463415,0.259237063687197,0.569241178559971,0.615853658536585,0.430758821440029,0.740762936312803,104,1.86069346709987e-06,584329
151,-0.867500567704723,0.178619041301559,0.42,0.295943282673142,0.596060158577166,0.58,0.403939841422834,0.704056717326858,134,1.19353260867346e-06,881500921
26,-0.881738350367495,0.223870329755829,0.4140625,0.266997459957207,0.642132527903931,0.5859375,0.357867472096069,0.733002540042793,85,8.19543619664179e-05,423736031
201,-1.35057627851781,0.18901237482765,0.259090909090909,0.178881138253376,0.375266502824183,0.740909090909091,0.624733497175817,0.821118861746624,112,8.97091236585007e-13,966579003
76,-0.733421079697885,0.200036045814872,0.480263157894737,0.324495203189863,0.710804654625571,0.519736842105263,0.289195345374429,0.675504796810137,111,0.00024594617236999,792990652
101,-0.782378314287887,0.194225583405369,0.457317073170732,0.312530422470431,0.66917935143812,0.542682926829268,0.33082064856188,0.687469577529569,116,5.62069747424539e-05,939587601
126,-0.881199412062886,0.214039267184851,0.414285714285714,0.272338727157486,0.63021757813377,0.585714285714286,0.36978242186623,0.727661272842514,93,3.83838024689925e-05,555123156
226,-0.773189888233482,0.198821313103029,0.461538461538462,0.312586983519598,0.681467120226184,0.538461538461538,0.318532879773816,0.687413016480402,111,0.000100712776627389,304318549
276,-1.09294655113243,0.199189420604141,0.335227272727273,0.226876232466636,0.495324358829396,0.664772727272727,0.504675641170604,0.773123767533364,103,4.08884497258971e-08,807532331
251,-1.02004996616501,0.18045526474387,0.360576923076923,0.253159441324951,0.513572461588487,0.639423076923077,0.486427538411513,0.746840558675049,127,1.57995291538451e-08,536298423
176,-0.980829253011726,0.182574185863157,0.375,0.262194657950272,0.536338158448184,0.625,0.463661841551816,0.737805342049728,125,7.77718148398462e-08,822065147
301,-0.71667767797014,0.187511535301615,0.488372093023256,0.338174402161157,0.705278991312462,0.511627906976744,0.294721008687538,0.661825597838843,127,0.000132349094541667,912349386
351,-0.870481195842862,0.199813345769804,0.41875,0.28305666910944,0.619492778784176,0.58125,0.380507221215824,0.71694333089056,107,1.32175744161616e-05,909837871
451,-0.913387972216193,0.194289906039794,0.401162790697675,0.274120033346879,0.587084361093371,0.598837209302326,0.412915638906629,0.725879966653121,112,2.5868746804188e-06,107575682
401,-1.04334960999306,0.197120026878631,0.352272727272727,0.23938126111226,0.518403461505575,0.647727272727273,0.481596538494425,0.76061873888774,106,1.20348269380711e-07,14734301
376,-0.6458942957094,0.21827203175595,0.524193548387097,0.341741861865615,0.804053898081437,0.475806451612903,0.195946101918563,0.658258138134385,96,0.00308513612210569,976956441
426,-0.910211685797773,0.198851097726021,0.402439024390244,0.272544690735418,0.594240775394141,0.597560975609756,0.405759224605859,0.727455309264582,107,4.70896276582051e-06,342648091
501,-0.776034840365713,0.187277739606465,0.460227272727273,0.318831520346776,0.66432936847527,0.539772727272727,0.33567063152473,0.681168479653224,125,3.41650668611465e-05,312075509
476,-0.896088024556635,0.181406072875598,0.408163265306123,0.28603605949213,0.582434436557255,0.591836734693877,0.417565563442745,0.71396394050787,129,7.82507156122819e-07,950583033
576,-1.07755887947028,0.192097880662559,0.340425531914894,0.233618973985082,0.49606220249447,0.659574468085106,0.50393779750553,0.766381026014918,111,2.02998571264189e-08,316291143
651,-0.819898886199089,0.193191711354252,0.440476190476191,0.301631959314609,0.64323182071715,0.55952380952381,0.35676817928285,0.698368040685391,116,2.19604492328979e-05,847691911
601,-1.36859478402049,0.188151541351776,0.254464285714286,0.17598350169527,0.367943995205897,0.745535714285714,0.632056004794103,0.82401649830473,113,3.49264368453727e-13,683876632
826,-0.898999234764094,0.1937563631253,0.406976744186046,0.278383748110652,0.594970329383022,0.593023255813954,0.405029670616978,0.721616251889348,113,3.48672841325412e-06,768814640
701,-0.719122666963206,0.19697441557752,0.487179487179487,0.331149472372561,0.716727256208469,0.512820512820513,0.283272743791531,0.668850527627439,115,0.000261380984241027,318703513
776,-1.0820829867169,0.196508689008832,0.338888888888889,0.230562583879079,0.49811065212809,0.661111111111111,0.50188934787191,0.769437416120921,106,3.65954521463141e-08,540771808
326,-0.810930216216329,0.186338998157482,0.444444444444445,0.308464676957304,0.64036785717566,0.555555555555555,0.35963214282434,0.691535323042696,125,1.34957764499343e-05,676026018
801,-1.13739831370327,0.196693373013279,0.320652173913043,0.218076307986339,0.471476326725054,0.679347826086957,0.528523673274946,0.781923692013661,105,7.35565632708733e-09,210107121
851,-0.8754687373539,0.202547873450592,0.416666666666667,0.280142948855723,0.619723294197645,0.583333333333333,0.380276705802355,0.719857051144277,104,1.54424639470164e-05,172808039
726,-0.830006363277142,0.191282898606837,0.436046511627907,0.299717787499421,0.634385305887906,0.563953488372093,0.365614694112094,0.700282212500579,118,1.4303087838987e-05,214126503
926,-0.996829594358168,0.199846331164001,0.369047619047619,0.249443908204303,0.545999082940792,0.630952380952381,0.454000917059208,0.750556091795697,104,6.10137388218934e-07,981860958
876,-0.815749502652278,0.200334169023091,0.442307692307692,0.29867559569849,0.655011984548108,0.557692307692308,0.344988015451892,0.70132440430151,108,4.66224046239932e-05,109035484
951,-0.649975008694737,0.208557598038085,0.522058823529412,0.346892484650703,0.785676909372506,0.477941176470588,0.214323090627494,0.653107515349297,105,0.00182996043172437,700413343
901,-0.974049566026348,0.184178383067404,0.377551020408163,0.263149606226074,0.541687198607411,0.622448979591837,0.458312801392589,0.736850393773926,123,1.23242310878338e-07,416224227
751,-0.865759923226939,0.197187721571896,0.420731707317073,0.285863528334526,0.619229639308135,0.579268292682927,0.380770360691865,0.714136471665474,110,1.13071241943203e-05,735488086
551,-0.419451350082904,0.226100738582142,0.657407407407408,0.422063013677922,1.02398098224245,0.342592592592592,-0.0239809822424544,0.577936986322078,98,0.0635744527391251,678206494
626,-0.778046624346431,0.189510004523146,0.459302325581395,0.316801650887132,0.665901284585279,0.540697674418605,0.334098715414721,0.683198349112868,122,4.03318800504123e-05,15065675
526,-0.767255152713667,0.19138975062198,0.464285714285715,0.319061255556673,0.675610782367485,0.535714285714285,0.324389217632515,0.680938744443327,120,6.10119828066867e-05,616955630
976,-1.29774096377845,0.18832862519669,0.273148148148148,0.188839414008135,0.395097131754225,0.726851851851852,0.604902868245775,0.811160585991865,113,5.54669165744359e-12,683087049
676,-0.63907995928967,0.202325659439418,0.527777777777778,0.35500231622901,0.784641029035873,0.472222222222222,0.215358970964127,0.64499768377099,112,0.00158490927163287,464703026
2,-1.01856958099457,0.177028334874273,0.361111111111111,0.255243128850831,0.510890283922628,0.638888888888889,0.489109716077372,0.744756871149169,132,8.73062244597469e-09,38421022
27,-0.759396566101145,0.198342269302712,0.467948717948718,0.317226176003712,0.690283523851722,0.532051282051282,0.309716476148278,0.682773823996288,112,0.000128812634719943,457123483
152,-0.557601688563722,0.215273248441889,0.57258064516129,0.375487723390849,0.873127334903725,0.42741935483871,0.126872665096275,0.624512276609151,102,0.00959189946865071,169161099
77,-1.28621090256291,0.182802832388901,0.276315789473684,0.193109504467329,0.39537368045695,0.723684210526316,0.60462631954305,0.806890495532671,120,1.9775797427366e-12,119996320
202,-0.693147180559945,0.207019667698161,0.5,0.333238018739346,0.750214519176897,0.5,0.249785480823103,0.666761981260654,105,0.000813327191096673,407598505
227,-0.822358912039952,0.218046806052835,0.439393939393939,0.286584227328677,0.673683390658832,0.560606060606061,0.326316609341168,0.713415772671323,91,0.000162282930650339,722782813
252,-0.680408154782515,0.195701950550376,0.506410256410257,0.345080716113612,0.743163369676877,0.493589743589743,0.256836630323123,0.654919283886388,118,0.000507517294239264,922686475
452,-0.586175061007777,0.216219374892458,0.556451612903226,0.364234550791399,0.850107154386719,0.443548387096774,0.149892845613281,0.635765449208601,100,0.00670765696525622,378202174
