"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
76,-0.960501865553746,0.261123483919454,0.382700773436232,0.229398528342555,0.638451706935039,0.617299226563768,0.361548293064961,0.770601471657445,68,0.000234753679093973,11,58293083
326,-1.93155011014432,0.347629517224187,0.144923377082709,0.073322229852295,0.286444987657447,0.855076622917291,0.713555012342553,0.926677770147705,62,2.75479489596456e-08,9,701459450
101,-1.70896538168762,0.295437759314717,0.181053016514182,0.101467903760378,0.323059741790833,0.818946983485818,0.676940258209167,0.898532096239622,74,7.27200313215788e-09,10,900019500
201,-1.9261297943747,0.336575509779959,0.145711040312159,0.0753353595828933,0.281829241758513,0.854288959687841,0.718170758241487,0.924664640417107,66,1.04827572194199e-08,10,439356649
301,-1.51735917518319,0.315791244031669,0.219290230046296,0.118091132872396,0.407212665541278,0.780709769953704,0.592787334458722,0.881908867127604,63,1.54794991595962e-06,10,775070778
176,-1.57602325736633,0.266837351484956,0.206795839015242,0.122577124909723,0.348878463787705,0.793204160984758,0.651121536212295,0.877422875090277,87,3.49862205495352e-09,11,883736332
126,-1.6235747804042,0.302421759552461,0.197192517665888,0.109010558195159,0.356707548949497,0.802807482334112,0.643292451050503,0.890989441804841,67,7.93599038546375e-08,11,94169193
26,-1.45880617791327,0.312995650948077,0.232513689082613,0.125900120466549,0.429408767922271,0.767486310917387,0.570591232077729,0.874099879533451,56,3.15002010111203e-06,8,896206942
1,-1.5376562363372,0.259520696129361,0.214884149344928,0.129211141866698,0.357362352600602,0.785115850655072,0.642637647399398,0.870788858133302,84,3.12325864059646e-09,10,339781792
251,-1.59115459264246,0.329086473452321,0.203690296596001,0.106868921477359,0.388230145432474,0.796309703403999,0.611769854567526,0.893131078522641,60,1.33101926424431e-06,10,234477203
351,-2.19199765992625,0.389088273750744,0.111693400174932,0.0520996700485276,0.239452872369775,0.888306599825068,0.760547127630225,0.947900329951472,57,1.76407279815088e-08,11,810979949
276,-1.24906638155091,0.295017400105114,0.286772407928168,0.16084890055018,0.511277439060045,0.713227592071832,0.488722560939955,0.83915109944982,63,2.29700083296389e-05,9,544219989
651,-1.69515033213569,0.347194434046691,0.183571630238051,0.0929550795137393,0.362525034721473,0.816428369761949,0.637474965278527,0.907044920486261,57,1.04789793336004e-06,10,852648384
451,-1.38456265065174,0.299141145508376,0.250433302686153,0.139335787430615,0.45011292684247,0.749566697313847,0.54988707315753,0.860664212569385,65,3.68396045031697e-06,10,639637500
601,-1.68277537330981,0.338000263423455,0.185857435808216,0.0958238454432185,0.360484243618398,0.814142564191785,0.639515756381602,0.904176154556781,62,6.40387426444459e-07,10,618351255
51,-1.39249787298477,0.27781290738724,0.248453922546902,0.144135540893644,0.428272938417677,0.751546077453098,0.571727061582323,0.855864459106356,74,5.37669262717774e-07,10,514666555
501,-1.64202749544349,0.327815475795081,0.193587147070246,0.101821497674393,0.368055708929348,0.806412852929754,0.631944291070652,0.898178502325607,63,5.47137664090519e-07,11,983217311
401,-1.49252635373381,0.297764291841254,0.224804003100674,0.125414172149262,0.402959561459622,0.775195996899326,0.597040438540378,0.874585827850738,63,5.37434732770139e-07,9,156428585
576,-2.5734639360953,0.469956651094658,0.0762708898252151,0.0303620426870506,0.191596089060607,0.923729110174785,0.808403910939393,0.969637957312949,56,4.35145394003297e-08,8,493641490
726,-2.16364177256375,0.369756234267931,0.114905896998987,0.0556679514929568,0.237180726271422,0.885094103001013,0.762819273728578,0.944332048507043,57,4.87054966040439e-09,11,312527011
551,-1.98824669788321,0.313687690269626,0.136935304052698,0.0740464060751388,0.253236834708453,0.863064695947302,0.746763165291547,0.925953593924861,73,2.32314098315833e-10,9,110249201
226,-2.08967200332368,0.361522310515989,0.123727711440878,0.0609170173940223,0.251301643338489,0.876272288559122,0.748698356661511,0.939082982605978,59,7.46109608005486e-09,9,83729346
