"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
176,-2.15684570414514,0.236705659321588,0.11568946491141,0.0727460789954887,0.183983143508235,0.88431053508859,0.816016856491765,0.927253921004511,131,8.09282963699832e-20,49,287201084
201,-1.70663020314277,0.252270644186116,0.181476301664678,0.110684487496368,0.297545291222224,0.818523698335322,0.702454708777776,0.889315512503632,132,1.33238791659694e-11,48,358896460
326,-0.712988828608736,0.253354168763982,0.490176950984651,0.298330342454082,0.805393917695754,0.509823049015349,0.194606082304246,0.701669657545918,117,0.00488990793253797,42,756286785
526,-2.6999730446766,0.279815576673311,0.0672073243104959,0.0388362380733574,0.116304376145918,0.932792675689504,0.883695623854082,0.961163761926643,133,4.95811312034181e-22,48,435250197
651,-1.81088389327315,0.245146547102684,0.163509547922045,0.101128600829538,0.264370040150524,0.836490452077955,0.735629959849476,0.898871399170462,132,1.50241476673266e-13,45,12765037
76,-1.82253326675967,0.261160446850326,0.161615815941402,0.09686874735996,0.269639823722975,0.838384184058598,0.730360176277025,0.90313125264004,125,2.98144322110038e-12,46,688898490
426,-1.48657445992502,0.556523570157689,0.22614600241192,0.0759757845369087,0.673135719737749,0.77385399758808,0.326864280262251,0.924024215463091,125,0.00755851716074695,44,351051616
1,-1.71933044839871,0.201988136194255,0.179186082084141,0.120606762719459,0.266217675432925,0.820813917915859,0.733782324567075,0.879393237280541,153,1.70904316139366e-17,46,441118550
26,-1.539188508667,0.269959549023038,0.21455514043877,0.126400542918814,0.364190748122558,0.78544485956123,0.635809251877442,0.873599457081186,124,1.18721243884394e-08,45,252984197
476,-1.32139229006721,0.240346092414186,0.266763630935303,0.166549623483921,0.427277067946399,0.733236369064697,0.572722932053601,0.833450376516079,122,3.84399623431078e-08,49,721366525
226,-0.732613149969012,0.238456811033968,0.4806513335659,0.301200262523786,0.767016942558055,0.5193486664341,0.232983057441945,0.698799737476214,139,0.00212409291746161,46,615845171
451,-1.42173185027924,0.253364651989542,0.241295766687287,0.146853844319465,0.396473427651961,0.758704233312713,0.603526572348039,0.853146155680535,133,2.00689651329715e-08,48,82703412
501,-1.14844461886373,0.238186900254322,0.31712964344134,0.198834518614346,0.505803577015198,0.68287035655866,0.494196422984802,0.801165481385654,122,1.42403321082195e-06,43,862386695
276,-0.439219354177149,0.234910403731861,0.64453938171654,0.406717968802966,1.02142281986266,0.35546061828346,-0.0214228198626623,0.593282031197034,127,0.0615211290895738,49,965680646
51,-1.76136073557766,0.258488060464097,0.17181091546292,0.103520250902623,0.285151846279563,0.82818908453708,0.714848153720437,0.896479749097377,133,9.48627459574914e-12,48,454505643
401,-1.34325289547869,0.228512652193015,0.260995295825571,0.166771700655739,0.408453857430474,0.739004704174429,0.591546142569526,0.833228299344261,138,4.14643963121615e-09,50,555696963
626,-0.618931845526584,0.48667555085164,0.53851935234636,0.207463803114085,1.39784911150052,0.46148064765364,-0.397849111500521,0.792536196885915,160,0.203460342559964,51,323283815
101,-1.83281658235596,0.203954348009682,0.15996238544489,0.107253535257295,0.238574557899983,0.84003761455511,0.761425442100017,0.892746464742705,141,2.55446934835136e-19,45,832415607
826,-0.968691204873861,0.216012383562047,0.379579504951898,0.248560824481653,0.579659328375629,0.620420495048102,0.420340671624371,0.751439175518347,135,7.31110185808937e-06,48,847100194
151,-1.75261614538733,0.563735089806959,0.173319919704867,0.0574111572004709,0.523239663356846,0.826680080295133,0.476760336643154,0.942588842799529,137,0.0018776257687008,49,125181317
576,-2.72949349035762,0.275668996999105,0.0652523322346964,0.0380142269413434,0.112007193218401,0.934747667765304,0.887992806781599,0.961985773058657,114,4.10719072910378e-23,42,857436596
376,-0.899441534037272,0.26674528446773,0.406796778470179,0.241170124283191,0.686169646698853,0.593203221529821,0.313830353301147,0.758829875716809,115,0.0007464838879433,41,559320123
301,-1.97007578494346,0.247086168652927,0.139446287885552,0.0859185283439462,0.226322163331496,0.860553712114448,0.773677836668504,0.914081471656054,129,1.54575384662729e-15,49,111733523
551,-0.645468281964154,0.220272242936713,0.524416909617978,0.340549787626562,0.807556207889469,0.475583090382022,0.192443792110531,0.659450212373438,144,0.00338612496606619,51,566747215
801,-1.5701218697304,0.301016154219867,0.208019829491641,0.115313278821087,0.375258165443981,0.791980170508359,0.624741834556019,0.884686721178913,117,1.82757370407806e-07,49,109365642
726,-1.14276397032528,0.254447363809808,0.318936272039621,0.193694783577289,0.525157899164292,0.681063727960379,0.474842100835708,0.806305216422711,126,7.0836117125993e-06,46,676702114
601,-2.47912654175684,0.262802430910061,0.0838164037572815,0.0500761795826021,0.140290046033072,0.916183596242719,0.859709953966928,0.949923820417398,138,3.96919125634439e-21,45,315796240
751,-1.25684569975261,0.260072996313852,0.284550169074082,0.170916626470247,0.473732722159617,0.715449830925918,0.526267277840383,0.829083373529753,126,1.34717288438376e-06,39,71900284
126,-2.07626855604492,0.231507306836605,0.12539725311028,0.0796578620838248,0.197400114392433,0.87460274688972,0.802599885607566,0.920342137916175,166,3.00635442863656e-19,48,376126411
976,-2.63199362646184,0.299369222360812,0.0719349078535753,0.0400051725143835,0.129349047702316,0.928065092146425,0.870650952297684,0.959994827485616,115,1.4718568246855e-18,51,775490816
876,-1.49273038317757,0.536145200975822,0.224758141143721,0.0785864750448377,0.64281063607394,0.775241858856279,0.35718936392606,0.921413524955162,143,0.00536615044340508,47,887811164
251,-1.42350157309078,0.248971854511974,0.240869117701227,0.147861768084194,0.392379535385586,0.759130882298773,0.607620464614414,0.852138231915806,130,1.0808991721153e-08,46,131439912
701,-1.43783540894243,0.255343282045324,0.237441165847672,0.143948591668959,0.391655844530634,0.762558834152328,0.608344155469366,0.856051408331041,141,1.79178356645488e-08,46,397431572
926,-2.78887604633465,0.25267313843105,0.0614902873238942,0.0374740607935801,0.100897937269259,0.938509712676106,0.899102062730741,0.96252593920642,124,2.51986903244047e-28,46,475223255
951,-1.23812461419709,0.528445510272014,0.289927434203784,0.102914289070683,0.816775958547967,0.710072565796216,0.183224041452033,0.897085710929317,154,0.0191316357495422,44,333868398
776,-1.50467875544278,0.246221526403125,0.222088627136307,0.137069925341756,0.359840848970419,0.777911372863693,0.640159151029581,0.862930074658244,138,9.8960878637807e-10,50,567841
676,-2.17505822257256,0.246693340286981,0.113601539304347,0.0700484394041292,0.184234079190013,0.886398460695653,0.815765920809987,0.929951560595871,127,1.17724593453593e-18,51,448451833
851,-1.36123687425073,0.243366790536116,0.25634351609371,0.159099256193929,0.413025175700311,0.74365648390629,0.586974824299689,0.840900743806071,127,2.22723136485709e-08,48,739576114
351,-1.57034852521271,0.214153571283092,0.207972685999725,0.136684242564775,0.316442022213663,0.792027314000275,0.683557977786337,0.863315757435225,150,2.25367902592286e-13,45,247012293
901,-0.683780657778818,0.222770091956878,0.50470526296692,0.326148651663808,0.781016267174637,0.49529473703308,0.218983732825363,0.673851348336192,144,0.00214456525370747,48,94533586
177,-2.12256024983435,0.274927040898785,0.119724710615341,0.0698498494669184,0.205211699686138,0.880275289384659,0.794788300313862,0.930150150533082,133,1.15920456415201e-14,51,61516712
652,-0.707036636047947,0.227223522810066,0.493103278979999,0.315881998628602,0.769752137812421,0.506896721020001,0.230247862187579,0.684118001371398,120,0.00186054466654622,45,831799028
202,-0.148242787405041,0.24825987008342,0.862221752945879,0.53002919366024,1.40261396946678,0.137778247054121,-0.402613969466776,0.46997080633976,139,0.550422280833925,49,797099868
102,-1.25170028117718,0.245773612190336,0.286018072048693,0.176681304403795,0.4630163775081,0.713981927951307,0.5369836224919,0.823318695596205,134,3.52628835264055e-07,46,157033471
327,-0.828182545943899,0.226340691641794,0.436842506467864,0.280325976888772,0.680748097536619,0.563157493532136,0.319251902463381,0.719674023111228,131,0.000253192806478641,48,851510965
427,-1.21052505524965,0.209194207428866,0.298040750479662,0.197792225071729,0.449098992208954,0.701959249520338,0.550901007791046,0.802207774928271,152,7.18215470669644e-09,49,956048992
77,-1.52575314849769,0.280270410065702,0.217457217598582,0.125547254906857,0.376652134057409,0.782542782401418,0.623347865942591,0.874452745093143,119,5.21379172049786e-08,41,154964767
227,-1.46978104837879,0.25701582019116,0.229975833256157,0.138966442006805,0.3805874505967,0.770024166743843,0.6194125494033,0.861033557993195,133,1.07379781934647e-08,49,211455147
602,-1.62991374052395,0.258731154847556,0.195946475638263,0.118006274086709,0.325364236878157,0.804053524361737,0.674635763121843,0.881993725913292,122,2.98333207831762e-10,47,520127213
502,-1.96126808228074,0.225431437315146,0.140679914057997,0.0904366584096251,0.21883646042874,0.859320085942003,0.78116353957126,0.909563341590375,128,3.31695106900829e-18,48,722977530
27,-0.732147454983954,0.249963327890012,0.480875222609459,0.294620681601563,0.784876942320093,0.519124777390541,0.215123057679907,0.705379318398436,134,0.00340033118847215,49,573475280
727,-2.28555464174119,0.25718643272776,0.101717629614623,0.0614438956002997,0.168389000621361,0.898282370385377,0.831610999378639,0.9385561043997,134,6.29155278120704e-19,50,900832634
452,-1.25596715103431,0.233562645119626,0.284800270107299,0.180190343377731,0.450141735304639,0.715199729892701,0.549858264695361,0.819809656622269,136,7.55558977806213e-08,44,690048925
52,-1.47842006552109,0.284478338632713,0.227997625279874,0.130551517027752,0.398179341893141,0.772002374720126,0.601820658106859,0.869448482972248,129,2.02583431171084e-07,46,881804449
627,-1.97479995421185,0.240190233965451,0.138789073635709,0.0866772210916851,0.2222314780983,0.861210926364291,0.7777685219017,0.913322778908315,149,2.00444236359918e-16,47,593513820
402,-2.85713091272872,0.288533462224097,0.057433305270704,0.0326259887585646,0.101102975873857,0.942566694729296,0.898897024126143,0.967374011241435,123,4.07007134779049e-23,51,511531827
827,-1.28751712048375,0.215022240670741,0.275955096460786,0.181055264050413,0.420596527044239,0.724044903539214,0.579403472955761,0.818944735949587,152,2.12656141056401e-09,50,7041833
152,-1.72239733880974,0.241046057580685,0.178637379842114,0.111376499441462,0.28651747574117,0.821362620157886,0.71348252425883,0.888623500558538,137,8.96614861688742e-13,50,372615922
477,-1.00099528473281,0.212800538422419,0.367513478528854,0.242179358641472,0.557711266798479,0.632486521471146,0.442288733201521,0.757820641358528,143,2.55221652661227e-06,50,126192947
2,-2.15261426279749,0.263535159845406,0.116180035274607,0.0693122455623933,0.194739046280914,0.883819964725393,0.805260953719086,0.930687754437607,136,3.129619758075e-16,50,295990430
527,-1.44067275757277,0.239885618543561,0.236768417343325,0.147956061607361,0.378891427916151,0.763231582656674,0.621108572083849,0.852043938392639,128,1.90548806815084e-09,49,235987775
277,-2.10160736207383,0.270133170151013,0.122259754539789,0.0720021969959165,0.207597104029718,0.877740245460211,0.792402895970282,0.927997803004084,121,7.2585484747825e-15,50,96957863
377,-2.43847643400871,0.261216255934163,0.0872937479836439,0.0523161119322507,0.14565681881903,0.912706252016356,0.85434318118097,0.947683888067749,135,1.00908493669498e-20,50,178757442
802,-2.5511331916346,0.231996136470379,0.0779932346247363,0.0494972946879855,0.122894487174987,0.922006765375264,0.877105512825013,0.950502705312015,149,3.97486823849037e-28,48,914867925
577,-1.09812758050673,0.230000331555989,0.333494941883787,0.212477336772255,0.52343877211376,0.666505058116213,0.47656122788624,0.787522663227745,141,1.80189323016888e-06,50,870166281
302,-0.674316486630676,0.21398555006914,0.509504554791743,0.334967938409273,0.774984294277,0.490495445208257,0.225015705723,0.665032061590727,140,0.00162587522570414,49,596410958
127,-0.803066760039516,0.230165884475641,0.447953090820435,0.285308678011096,0.703315345941833,0.552046909179565,0.296684654058167,0.714691321988904,113,0.000484689409780192,47,294772745
877,-1.87564252920295,0.258871267191498,0.153256463449357,0.092271414312587,0.254548429369853,0.846743536550643,0.745451570630147,0.907728585687413,126,4.30960231804898e-13,42,775093708
