"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
26,-0.860971322205925,0.190337898534934,0.422751255145566,0.291117955602655,0.613904502582737,0.577248744854434,0.386095497417263,0.708882044397345,252,6.08588050145656e-06,10,437485067
126,-0.984488734567529,0.204293488992668,0.373630202319918,0.25034968078818,0.557618158913243,0.626369797680082,0.442381841086757,0.74965031921182,235,1.44285177669337e-06,11,579483695
76,-1.14651177095384,0.199905556675781,0.31774319957416,0.214741679837782,0.470149721059699,0.68225680042584,0.529850278940301,0.785258320162218,241,9.73587677663114e-09,10,405860573
326,-0.619529558802485,0.181067134496725,0.538197568356994,0.37741321860903,0.767478742935717,0.461802431643006,0.232521257064283,0.62258678139097,257,0.000622661542401588,11,991642250
1,-0.924704658332649,0.196836244870296,0.396648548621226,0.269686094547174,0.583382214746726,0.603351451378774,0.416617785253274,0.730313905452826,229,2.62930709338565e-06,11,709113155
451,-0.888079262908021,0.183870687466732,0.411445272475874,0.286946587115141,0.58996070991713,0.588554727524126,0.41003929008287,0.713053412884859,244,1.36593318839528e-06,11,302157239
601,-0.958014381011776,0.197574520430442,0.38365392067239,0.260473714914769,0.56508707949844,0.61634607932761,0.43491292050156,0.739526285085231,218,1.24162904542176e-06,10,144891599
701,-0.985780554263987,0.20563409799471,0.37314785108786,0.249370389350994,0.558363481461729,0.62685214891214,0.441636518538271,0.750629610649006,231,1.63604541013748e-06,11,76063738
476,-0.774220076166012,0.195380539306226,0.461063235013331,0.314378093981399,0.67618994691639,0.538936764986669,0.32381005308361,0.685621906018601,244,7.41297481332514e-05,10,568236966
51,-0.846122006843909,0.18255796814432,0.42907566219862,0.300013126735682,0.613659561814394,0.57092433780138,0.386340438185606,0.699986873264318,245,3.57260641395428e-06,10,694389963
151,-0.970078370280643,0.180903920698433,0.37905333042343,0.265897724230536,0.54036350901793,0.62094666957657,0.45963649098207,0.734102275769464,237,8.21254805636686e-08,11,242782504
101,-1.01030699355354,0.187763523921993,0.364107183853879,0.252002382273036,0.526082492308993,0.635892816146121,0.473917507691007,0.747997617726964,247,7.41796324101154e-08,10,804614944
226,-0.804503875235947,0.19320327255133,0.447309792983594,0.306304574321903,0.653225800959639,0.552690207016406,0.346774199040361,0.693695425678097,246,3.1268147007255e-05,11,906756448
201,-0.729417929212902,0.187007362468997,0.482189576888141,0.334223407627881,0.695662789478928,0.517810423111859,0.304337210521072,0.665776592372119,256,9.60033191723254e-05,11,553615957
251,-0.854389081192642,0.182934522550541,0.4255430839608,0.297323604195632,0.609056643170913,0.5744569160392,0.390943356829087,0.702676395804368,269,3.00520314280702e-06,11,161386202
301,-1.13059991276519,0.212633470031329,0.322839522765601,0.212810356287478,0.489756980241726,0.677160477234399,0.510243019758274,0.787189643712522,200,1.0541645430688e-07,10,670990626
376,-0.913142858083339,0.183011029630075,0.401261133419353,0.280315959581361,0.574389333498691,0.598738866580647,0.425610666501309,0.719684040418639,244,6.05198086894523e-07,11,472151402
176,-0.960533589640893,0.194371932417993,0.38268863279612,0.261454350972689,0.560138277012885,0.61731136720388,0.439861722987115,0.738545649027311,234,7.74324400415266e-07,10,217932432
976,-0.88221290137975,0.20189896296408,0.413866052837275,0.278614103181195,0.614775446524011,0.586133947162725,0.385224553475989,0.721385896818805,244,1.24487901485297e-05,11,222589349
551,-1.14832335034738,0.200568785168917,0.317168103614648,0.214074553090747,0.469909218532243,0.682831896385352,0.530090781467757,0.785925446909253,224,1.0323024415471e-08,11,392520659
726,-0.79950721866021,0.177445494597729,0.449550439611179,0.31749474965981,0.636532093746893,0.550449560388821,0.363467906253107,0.68250525034019,269,6.61702067541269e-06,10,375196147
351,-0.899515626163877,0.198862775718131,0.406766639148323,0.275469185933171,0.600644671611883,0.593233360851677,0.399355328388117,0.724530814066829,231,6.08833801904444e-06,11,369659251
276,-0.928696908515559,0.178372959517998,0.395068185082748,0.278509952271757,0.560406799080135,0.604931814917252,0.439593200919865,0.721490047728243,268,1.92446766090988e-07,10,264247604
526,-0.940810323324967,0.188507596435301,0.390311428725299,0.269744942691737,0.564766886353385,0.609688571274701,0.435233113646615,0.730255057308263,244,6.01188148063599e-07,10,421266064
501,-0.882678514384419,0.17621342406655,0.413673396276064,0.292862963965451,0.584319971598596,0.586326603723937,0.415680028401404,0.707137036034549,274,5.46724974018992e-07,11,439267360
876,-1.0068411058914,0.192143884829598,0.36537132787523,0.250715562387387,0.532460793267552,0.63462867212477,0.467539206732448,0.749284437612613,242,1.60544223128968e-07,11,355586159
626,-1.10566864098235,0.20449077524491,0.330989495094822,0.221692676644295,0.494170793196315,0.669010504905178,0.505829206803685,0.778307323355705,232,6.41118525373066e-08,11,663534447
676,-1.09637144719219,0.191180890842074,0.334081118012527,0.22967750463094,0.485943077411271,0.665918881987473,0.514056922588729,0.77032249536906,243,9.76658256990956e-09,10,195071193
426,-0.807012430919143,0.206260287268897,0.446189097711201,0.297817270913027,0.66847940116433,0.553810902288799,0.33152059883567,0.702182729086973,231,9.13105851892809e-05,10,706032029
926,-0.749053110742752,0.190762704530953,0.472814043383895,0.325321569499288,0.687175830256519,0.527185956616105,0.312824169743481,0.674678430500712,241,8.61470585591788e-05,11,161374409
401,-1.08927214380296,0.189613837475336,0.336461300046324,0.232025398683247,0.487904371983896,0.663538699953676,0.512095628016104,0.767974601316753,234,9.20911824078882e-09,10,633049848
801,-0.54971042920603,0.193229946091978,0.577116902386474,0.395172000608535,0.842832788019561,0.422883097613526,0.157167211980439,0.604827999391465,224,0.00444321847859562,11,234850493
776,-0.891100482864785,0.193120170886133,0.410204081706823,0.280941430856221,0.598941167687911,0.589795918293177,0.401058832312089,0.719058569143779,221,3.94559279013638e-06,10,435598784
751,-0.855279112026448,0.189247690847643,0.425164505992985,0.293406056726946,0.616091089504963,0.574835494007015,0.383908910495037,0.706593943273054,243,6.20258136341537e-06,10,528434916
576,-1.11172159199437,0.19048220290909,0.328992083112424,0.226488785054736,0.47788587291196,0.671007916887576,0.52211412708804,0.773511214945264,242,5.33554308322312e-09,11,423836525
951,-0.603372166236811,0.196504934989414,0.546964068927033,0.372128981031569,0.803940859074978,0.453035931072967,0.196059140925022,0.627871018968431,242,0.00213686981514232,11,330656937
851,-0.758934628847958,0.188034955260121,0.468164930828667,0.323849502683632,0.67679091874946,0.531835069171333,0.32320908125054,0.676150497316368,251,5.43387537182379e-05,11,487288014
901,-1.00124282931065,0.182344342029161,0.367422513819338,0.257012341851252,0.525263894678854,0.632577486180662,0.474736105321146,0.742987658148748,271,3.99787901297631e-08,11,801580593
826,-1.1294958937268,0.211115357025501,0.323196140565278,0.213680282079226,0.488841292513653,0.676803859434722,0.511158707486347,0.786319717920774,221,8.78881083738783e-08,10,112016570
651,-0.924251871434811,0.18369043326259,0.39682818655287,0.276850257686318,0.568800661263106,0.60317181344713,0.431199338736894,0.723149742313682,261,4.86471155426712e-07,11,811943813
27,-0.963148628666533,0.199991995498867,0.381689194441389,0.257914862961351,0.56486330210116,0.618310805558611,0.43513669789884,0.742085137038649,232,1.46511561665583e-06,11,885090854
77,-0.767649677730522,0.191874887994076,0.464102578084742,0.318632286574834,0.675986747295044,0.535897421915258,0.324013252704956,0.681367713425166,228,6.31333895533369e-05,10,469240583
602,-0.910345110961283,0.202646106667548,0.402385332479617,0.27048890947273,0.598597392071839,0.597614667520383,0.401402607928161,0.729511090527269,214,7.04613323865858e-06,10,73004759
