"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
401,-0.897100107571588,0.144559802834092,0.407750379170745,0.307145987613212,0.541307321010024,0.592249620829255,0.458692678989976,0.692854012386788,368,5.44411811274009e-10,3,393675089
276,-1.04232497403392,0.144867524300841,0.352633863561533,0.265468230606328,0.468420049534055,0.647366136438467,0.531579950465945,0.734531769393672,381,6.24508540781664e-13,3,49799431
26,-0.885180949043152,0.139484828914102,0.412639499800551,0.313935982859054,0.542376045093545,0.587360500199449,0.457623954906455,0.686064017140946,397,2.20880019612504e-10,3,326419129
1,-1.02116917480029,0.13497344138069,0.360173588021072,0.276453606983432,0.469246955840036,0.639826411978928,0.530753044159964,0.723546393016568,407,3.85768057638161e-14,4,936834598
76,-0.707913634867246,0.149443815660867,0.492671017560623,0.367578590579688,0.66033424623951,0.507328982439377,0.33966575376049,0.632421409420312,400,2.16917479044672e-06,5,53782725
126,-0.712116071965226,0.133550293418547,0.490604942914352,0.377618883311874,0.637397176489202,0.509395057085648,0.362602823510798,0.622381116688126,398,9.70331977464602e-08,3,535911772
226,-1.26956309652629,0.136035055952309,0.280954344896588,0.215200117040167,0.366799725771235,0.719045655103412,0.633200274228765,0.784799882959833,411,1.03288358424741e-20,3,993372987
251,-0.701931621251818,0.137620823445834,0.495627014888831,0.378452965734502,0.649079701121812,0.504372985111169,0.350920298878188,0.621547034265498,405,3.38801458101108e-07,4,952831404
201,-0.890726932495625,0.149640416301082,0.410357342216453,0.306046949494799,0.550219986145664,0.589642657783547,0.449780013854336,0.693953050505201,367,2.6415961486422e-09,3,691476069
151,-1.01904223270954,0.14172019731334,0.360940471654844,0.273402908818328,0.476505625494238,0.639059528345156,0.523494374505762,0.726597091181672,406,6.45439552523738e-13,4,639889492
176,-0.803504143268682,0.149772862158686,0.44775720649244,0.333853315052503,0.60052276531801,0.55224279350756,0.39947723468199,0.666146684947497,403,8.10308929745369e-08,5,203605660
376,-0.832344810892456,0.13022487136211,0.435028030998541,0.337030830162136,0.561519513403045,0.564971969001459,0.438480486596955,0.662969169837863,434,1.64162800840705e-10,3,369896296
476,-0.920325812979127,0.140923327988642,0.398389219558417,0.302241032094102,0.525123836299465,0.601610780441583,0.474876163700535,0.697758967905898,391,6.54697228438281e-11,3,337233265
326,-0.901499573758441,0.137628951768235,0.405960435450418,0.309980042547563,0.531659631364188,0.594039564549582,0.468340368635812,0.690019957452437,385,5.745332890808e-11,3,900222902
451,-1.00037117986319,0.138497274775735,0.367742917069863,0.280320734678624,0.482429004797284,0.632257082930137,0.517570995202716,0.719679265321376,407,5.08385266654473e-13,4,69486815
301,-0.773388767547631,0.136758536862135,0.461446680212784,0.352949400255462,0.603296219019722,0.538553319787217,0.396703780980278,0.647050599744538,420,1.55718659087409e-08,3,854991928
626,-0.955294668547711,0.14070260832884,0.384698769222094,0.291980951508083,0.506858897049992,0.615301230777906,0.493141102950008,0.708019048491917,387,1.1255437849036e-11,4,718825156
426,-1.00993824079275,0.14088666733607,0.364241474141583,0.27635443988293,0.480078595954661,0.635758525858417,0.519921404045339,0.72364556011707,384,7.58547308045536e-13,3,258369019
701,-0.791889615704584,0.132941408664098,0.452988012779522,0.349081454949898,0.58782309060615,0.547011987220478,0.41217690939385,0.650918545050102,427,2.5741137214259e-09,3,763217750
51,-0.918172777964586,0.144092690520236,0.399247889539108,0.301016781944287,0.529534852747624,0.600752110460892,0.470465147252376,0.698983218055713,414,1.86459393171468e-10,5,904712402
351,-0.835176066367884,0.133516721271849,0.43379809745345,0.33391659545541,0.563556264993609,0.56620190254655,0.436443735006391,0.66608340454459,415,3.96963529620067e-10,3,643246103
826,-1.03765294787292,0.13913103372348,0.354285232813707,0.269727048418638,0.46535201762579,0.645714767186293,0.534647982374211,0.730272951581362,406,8.77800688573503e-14,4,656214665
801,-1.13611264439079,0.137043068342697,0.321064691696928,0.245437702233361,0.419994708703853,0.678935308303072,0.580005291296147,0.754562297766639,433,1.13070693372223e-16,4,646585105
901,-0.935150095935472,0.150898532394638,0.392526944410799,0.292027943390721,0.52761184528951,0.607473055589201,0.47238815471049,0.707972056609279,392,5.74723094246312e-10,4,355392344
651,-0.751433633707997,0.132204327560118,0.471689837325395,0.364018949248217,0.611208023910715,0.528310162674605,0.388791976089285,0.635981050751783,405,1.31672099354554e-08,3,720725377
