"COVID-19_Season";"Week_ID";"Current_Season_Week_Ending_Label";"MMWR_Week_Order";"MMWR_Year";"MMWR_Week";"MMWR_Day";"Setting";"Doses";"Cumulative_Doses";"Location_and_Flu_Season_Order";"Current_Through";"Age_Group"
"2023-2024";"2023 Oct 07 12:00:00 AM";"2025 Oct 04 12:00:00 AM";"6";"2023";"40";"7";"Physician Medical Office";"29,498";"47,742";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Oct 07 12:00:00 AM";"2025 Oct 04 12:00:00 AM";"6";"2023";"40";"7";"Physician Medical Office";"35,155";"57,571";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Oct 07 12:00:00 AM";"2025 Oct 04 12:00:00 AM";"6";"2023";"40";"7";"Physician Medical Office";"16,403";"27,295";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Oct 14 12:00:00 AM";"2025 Oct 11 12:00:00 AM";"7";"2023";"41";"7";"Physician Medical Office";"131,066";"269,946";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Oct 14 12:00:00 AM";"2025 Oct 11 12:00:00 AM";"7";"2023";"41";"7";"Physician Medical Office";"38,043";"79,025";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Oct 14 12:00:00 AM";"2025 Oct 11 12:00:00 AM";"7";"2023";"41";"7";"Physician Medical Office";"74,547";"155,856";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Oct 14 12:00:00 AM";"2025 Oct 11 12:00:00 AM";"7";"2023";"41";"7";"Physician Medical Office";"36,505";"76,832";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Oct 14 12:00:00 AM";"2025 Oct 11 12:00:00 AM";"7";"2023";"41";"7";"Physician Medical Office";"43,934";"91,676";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Oct 14 12:00:00 AM";"2025 Oct 11 12:00:00 AM";"7";"2023";"41";"7";"Physician Medical Office";"56,518";"114,089";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Oct 14 12:00:00 AM";"2025 Oct 11 12:00:00 AM";"7";"2023";"41";"7";"Physician Medical Office";"28,611";"55,906";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Oct 21 12:00:00 AM";"2025 Oct 18 12:00:00 AM";"8";"2023";"42";"7";"Physician Medical Office";"189,624";"459,570";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Oct 21 12:00:00 AM";"2025 Oct 18 12:00:00 AM";"8";"2023";"42";"7";"Physician Medical Office";"52,597";"131,622";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Oct 21 12:00:00 AM";"2025 Oct 18 12:00:00 AM";"8";"2023";"42";"7";"Physician Medical Office";"101,573";"257,429";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Oct 21 12:00:00 AM";"2025 Oct 18 12:00:00 AM";"8";"2023";"42";"7";"Physician Medical Office";"48,976";"125,808";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Oct 21 12:00:00 AM";"2025 Oct 18 12:00:00 AM";"8";"2023";"42";"7";"Physician Medical Office";"60,183";"151,859";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Oct 21 12:00:00 AM";"2025 Oct 18 12:00:00 AM";"8";"2023";"42";"7";"Physician Medical Office";"88,051";"202,140";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Oct 21 12:00:00 AM";"2025 Oct 18 12:00:00 AM";"8";"2023";"42";"7";"Physician Medical Office";"49,081";"104,987";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Oct 28 12:00:00 AM";"2025 Oct 25 12:00:00 AM";"9";"2023";"43";"7";"Physician Medical Office";"208,519";"668,089";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Oct 28 12:00:00 AM";"2025 Oct 25 12:00:00 AM";"9";"2023";"43";"7";"Physician Medical Office";"57,884";"189,506";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Oct 28 12:00:00 AM";"2025 Oct 25 12:00:00 AM";"9";"2023";"43";"7";"Physician Medical Office";"111,865";"369,294";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Oct 28 12:00:00 AM";"2025 Oct 25 12:00:00 AM";"9";"2023";"43";"7";"Physician Medical Office";"53,981";"179,789";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Oct 28 12:00:00 AM";"2025 Oct 25 12:00:00 AM";"9";"2023";"43";"7";"Physician Medical Office";"65,821";"217,680";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Oct 28 12:00:00 AM";"2025 Oct 25 12:00:00 AM";"9";"2023";"43";"7";"Physician Medical Office";"96,653";"298,793";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Oct 28 12:00:00 AM";"2025 Oct 25 12:00:00 AM";"9";"2023";"43";"7";"Physician Medical Office";"53,797";"158,784";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Nov 04 12:00:00 AM";"2025 Nov 01 12:00:00 AM";"10";"2023";"44";"7";"Physician Medical Office";"191,775";"859,864";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Nov 04 12:00:00 AM";"2025 Nov 01 12:00:00 AM";"10";"2023";"44";"7";"Physician Medical Office";"55,905";"245,411";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Nov 04 12:00:00 AM";"2025 Nov 01 12:00:00 AM";"10";"2023";"44";"7";"Physician Medical Office";"109,217";"478,511";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Nov 04 12:00:00 AM";"2025 Nov 01 12:00:00 AM";"10";"2023";"44";"7";"Physician Medical Office";"53,312";"233,101";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Nov 04 12:00:00 AM";"2025 Nov 01 12:00:00 AM";"10";"2023";"44";"7";"Physician Medical Office";"63,934";"281,614";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Nov 04 12:00:00 AM";"2025 Nov 01 12:00:00 AM";"10";"2023";"44";"7";"Physician Medical Office";"82,557";"381,350";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Nov 04 12:00:00 AM";"2025 Nov 01 12:00:00 AM";"10";"2023";"44";"7";"Physician Medical Office";"41,594";"200,378";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Nov 11 12:00:00 AM";"2025 Nov 08 12:00:00 AM";"11";"2023";"45";"7";"Physician Medical Office";"186,352";"1,046,216";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Nov 11 12:00:00 AM";"2025 Nov 08 12:00:00 AM";"11";"2023";"45";"7";"Physician Medical Office";"56,862";"302,273";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Nov 11 12:00:00 AM";"2025 Nov 08 12:00:00 AM";"11";"2023";"45";"7";"Physician Medical Office";"109,305";"587,816";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Nov 11 12:00:00 AM";"2025 Nov 08 12:00:00 AM";"11";"2023";"45";"7";"Physician Medical Office";"52,443";"285,544";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Nov 11 12:00:00 AM";"2025 Nov 08 12:00:00 AM";"11";"2023";"45";"7";"Physician Medical Office";"61,994";"343,608";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Nov 11 12:00:00 AM";"2025 Nov 08 12:00:00 AM";"11";"2023";"45";"7";"Physician Medical Office";"77,047";"458,397";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Nov 11 12:00:00 AM";"2025 Nov 08 12:00:00 AM";"11";"2023";"45";"7";"Physician Medical Office";"37,562";"237,940";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Nov 18 12:00:00 AM";"2025 Nov 15 12:00:00 AM";"12";"2023";"46";"7";"Physician Medical Office";"175,668";"1,221,884";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Nov 18 12:00:00 AM";"2025 Nov 15 12:00:00 AM";"12";"2023";"46";"7";"Physician Medical Office";"54,067";"356,340";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Nov 18 12:00:00 AM";"2025 Nov 15 12:00:00 AM";"12";"2023";"46";"7";"Physician Medical Office";"103,525";"691,341";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Nov 18 12:00:00 AM";"2025 Nov 15 12:00:00 AM";"12";"2023";"46";"7";"Physician Medical Office";"49,458";"335,002";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Nov 18 12:00:00 AM";"2025 Nov 15 12:00:00 AM";"12";"2023";"46";"7";"Physician Medical Office";"60,711";"404,319";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Nov 18 12:00:00 AM";"2025 Nov 15 12:00:00 AM";"12";"2023";"46";"7";"Physician Medical Office";"72,143";"530,540";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Nov 18 12:00:00 AM";"2025 Nov 15 12:00:00 AM";"12";"2023";"46";"7";"Physician Medical Office";"33,501";"271,441";"38";"2026 Jan 17 12:00:00 AM";"75+"
"2023-2024";"2023 Nov 25 12:00:00 AM";"2025 Nov 22 12:00:00 AM";"13";"2023";"47";"7";"Physician Medical Office";"102,225";"1,324,109";"38";"2026 Jan 17 12:00:00 AM";"18+"
"2023-2024";"2023 Nov 25 12:00:00 AM";"2025 Nov 22 12:00:00 AM";"13";"2023";"47";"7";"Physician Medical Office";"37,376";"393,716";"38";"2026 Jan 17 12:00:00 AM";"18-49"
"2023-2024";"2023 Nov 25 12:00:00 AM";"2025 Nov 22 12:00:00 AM";"13";"2023";"47";"7";"Physician Medical Office";"65,996";"757,337";"38";"2026 Jan 17 12:00:00 AM";"18-64"
"2023-2024";"2023 Nov 25 12:00:00 AM";"2025 Nov 22 12:00:00 AM";"13";"2023";"47";"7";"Physician Medical Office";"28,620";"363,622";"38";"2026 Jan 17 12:00:00 AM";"50-64"
"2023-2024";"2023 Nov 25 12:00:00 AM";"2025 Nov 22 12:00:00 AM";"13";"2023";"47";"7";"Physician Medical Office";"31,259";"435,578";"38";"2026 Jan 17 12:00:00 AM";"60-74"
"2023-2024";"2023 Nov 25 12:00:00 AM";"2025 Nov 22 12:00:00 AM";"13";"2023";"47";"7";"Physician Medical Office";"36,229";"566,769";"38";"2026 Jan 17 12:00:00 AM";"65+"
"2023-2024";"2023 Nov 25 12:00:00 AM";"2025 Nov 22 12:00:00 AM";"13";"2023";"47";"7";"Physician Medical Office";"16,915";"288,356";"38";"2026 Jan 17 12:00:00 AM";"75+"
