day,ve
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.43
9,0.464285714285714
10,0.498571428571429
11,0.532857142857143
12,0.567142857142857
13,0.601428571428571
14,0.635714285714286
15,0.67
16,0.67
17,0.67
18,0.67
19,0.67
20,0.67
21,0.67
22,0.59
23,0.574285714285714
24,0.558571428571429
25,0.542857142857143
26,0.527142857142857
27,0.511428571428571
28,0.495714285714286
29,0.48
30,0.478571428571429
31,0.477142857142857
32,0.475714285714286
33,0.474285714285714
34,0.472857142857143
35,0.471428571428571
36,0.47
37,0.47
38,0.47
39,0.47
40,0.47
41,0.47
42,0.47
43,0.47
44,0.468571428571429
45,0.467142857142857
46,0.465714285714286
47,0.464285714285714
48,0.462857142857143
49,0.461428571428572
50,0.46
51,0.458571428571429
52,0.457142857142857
53,0.455714285714286
54,0.454285714285714
55,0.452857142857143
56,0.451428571428571
57,0.45
58,0.45
59,0.45
60,0.45
61,0.45
62,0.45
63,0.45
64,0.45
65,0.448571428571429
66,0.447142857142857
67,0.445714285714286
68,0.444285714285714
69,0.442857142857143
70,0.441428571428571
71,0.44
72,0.44
73,0.44
74,0.44
75,0.44
76,0.44
77,0.44
78,0.44
79,0.438571428571429
80,0.437142857142857
81,0.435714285714286
82,0.434285714285714
83,0.432857142857143
84,0.431428571428571
85,0.43
86,0.43
87,0.43
88,0.43
89,0.43
90,0.43
91,0.43
92,0.43
93,0.428571428571429
94,0.427142857142857
95,0.425714285714286
96,0.424285714285714
97,0.422857142857143
98,0.421428571428571
99,0.42
100,0.418571428571429
101,0.417142857142857
102,0.415714285714286
103,0.414285714285714
104,0.412857142857143
105,0.411428571428571
106,0.41
107,0.41
108,0.41
109,0.41
110,0.41
111,0.41
112,0.41
113,0.41
114,0.408571428571429
115,0.407142857142857
116,0.405714285714286
117,0.404285714285714
118,0.402857142857143
119,0.401428571428571
120,0.4
121,0.4
122,0.4
123,0.4
124,0.4
125,0.4
126,0.4
127,0.4
128,0.398571428571429
129,0.397142857142857
130,0.395714285714286
131,0.394285714285714
132,0.392857142857143
133,0.391428571428571
134,0.39
135,0.388571428571429
136,0.387142857142857
137,0.385714285714286
138,0.384285714285714
139,0.382857142857143
140,0.381428571428571
141,0.38
142,0.38
143,0.38
144,0.38
145,0.38
146,0.38
147,0.38
148,0.38
149,0.378571428571429
150,0.377142857142857
151,0.375714285714286
152,0.374285714285714
153,0.372857142857143
154,0.371428571428571
155,0.37
156,0.37
157,0.37
158,0.37
159,0.37
160,0.37
161,0.37
162,0.37
163,0.365908163265306
164,0.365066326530612
165,0.364224489795918
166,0.363382653061224
167,0.362540816326531
168,0.361698979591837
169,0.360857142857143
170,0.360015306122449
171,0.359173469387755
172,0.358331632653061
173,0.357489795918367
174,0.356647959183673
175,0.35580612244898
176,0.354964285714286
177,0.354122448979592
178,0.353280612244898
179,0.352438775510204
180,0.35159693877551
181,0.350755102040816
182,0.349913265306122
183,0.349071428571429
184,0.348229591836735
185,0.347387755102041
186,0.346545918367347
187,0.345704081632653
188,0.344862244897959
189,0.344020408163265
190,0.343178571428571
191,0.342336734693878
192,0.341494897959184
193,0.34065306122449
194,0.339811224489796
195,0.338969387755102
196,0.338127551020408
197,0.337285714285714
198,0.33644387755102
199,0.335602040816327
200,0.334760204081633
201,0.333918367346939
202,0.333076530612245
203,0.332234693877551
204,0.331392857142857
205,0.330551020408163
206,0.329709183673469
207,0.328867346938776
208,0.328025510204082
209,0.327183673469388
210,0.326341836734694
211,0.3255
212,0.324658163265306
213,0.323816326530612
214,0.322974489795918
215,0.322132653061225
216,0.321290816326531
217,0.320448979591837
218,0.319607142857143
219,0.318765306122449
220,0.317923469387755
221,0.317081632653061
222,0.316239795918367
223,0.315397959183674
224,0.31455612244898
225,0.313714285714286
226,0.312872448979592
227,0.312030612244898
228,0.311188775510204
229,0.31034693877551
230,0.309505102040816
231,0.308663265306123
232,0.307821428571429
233,0.306979591836735
234,0.306137755102041
235,0.305295918367347
236,0.304454081632653
237,0.303612244897959
238,0.302770408163265
239,0.301928571428571
240,0.301086734693878
241,0.300244897959184
242,0.29940306122449
243,0.298561224489796
244,0.297719387755102
245,0.296877551020408
246,0.296035714285714
247,0.29519387755102
248,0.294352040816327
