"rep","est_V","se_V","IRR_V","IRR_V_CI_Lower","IRR_V_CI_Upper","VE","VE_CI_Lower","VE_CI_Upper","n_event","p_val","n_calendar_group","seed"
1,-0.949733156352025,0.512223613246135,0.386844236610296,0.141752458820915,1.05570276976756,0.613155763389704,-0.0557027697675649,0.858247541179085,87,0.0637194499800537,17,195260152
26,-1.22891207385982,0.52281861547386,0.29261074345575,0.105018607458393,0.815294063193975,0.70738925654425,0.184705936806025,0.894981392541607,85,0.0187456140631986,16,360637617
76,-0.735322846609505,0.558178270508201,0.479350677249947,0.16052073515519,1.43144791579627,0.520649322750053,-0.431447915796273,0.83947926484481,74,0.187717309759113,18,848302589
101,-1.00231230548636,0.513462868560466,0.36702977424463,0.134165517604945,1.00406466271554,0.63297022575537,-0.00406466271553763,0.865834482395055,90,0.050930624142464,17,681107466
151,-1.42934254813919,0.552080160089767,0.239466308071125,0.0811545612878757,0.706603692894115,0.760533691928875,0.293396307105885,0.918845438712124,86,0.00962515434293009,18,561418496
226,-0.590664109386376,0.530152229953755,0.553959272995141,0.19597985876807,1.56582864211811,0.446040727004859,-0.56582864211811,0.80402014123193,75,0.265218884910186,15,944514952
201,-0.269366857783512,0.504476719288053,0.763862975161828,0.284186928434118,2.05317903971909,0.236137024838172,-1.05317903971909,0.715813071565882,81,0.593374051849044,19,840856999
276,-0.82838703469142,0.237306359748777,0.436753186223656,0.274309306591064,0.695395092667737,0.563246813776344,0.304604907332263,0.725690693408936,82,0.000481591844142379,16,473036693
301,-1.213604902893,0.491768933705685,0.297124242453675,0.113329666874375,0.778991219938298,0.702875757546325,0.221008780061702,0.886670333125625,96,0.0135932717015585,17,25247956
451,-0.660923175729746,0.250820884776597,0.516374410060211,0.315838877593387,0.844235938896377,0.483625589939789,0.155764061103623,0.684161122406613,80,0.00841272583701478,20,857948949
326,-1.51859823907416,0.637701482893266,0.219018683706977,0.0627579397914988,0.764352430498915,0.780981316293023,0.235647569501085,0.937242060208501,66,0.0172487404507671,20,955652895
426,-0.467573065501064,0.50264234198655,0.626520949974584,0.233929859823781,1.6779751890278,0.373479050025416,-0.677975189027796,0.766070140176219,86,0.352251930080253,18,844883821
551,-1.13139605668253,0.60288234755438,0.322582598331257,0.0989615641834071,1.05151463201703,0.677417401668743,-0.0515146320170341,0.901038435816593,72,0.0605667850988519,20,219710538
576,-1.08845705707647,0.559465103103837,0.336735656983127,0.112479026057084,1.00810708145989,0.663264343016873,-0.00810708145989425,0.887520973942916,77,0.0517110260198689,19,513829254
